Full Sample ID,Color,Site,Batch,Emergence Date 1,Emergence Date 2,EC #,"Total Emergence
 Number",Notes,Count Jan. '26,,,,,,
RIP2,Pink,Ram Island,2,20250630,20250702,2,36,,34,,,,,,
RIB3,Blue,Ram Island,3,20250709,20250718,1,11,,6,,,,,,
RIR3,Red,Ram Island,3,20250709,20250725,1,36,,36,,,,,,
RIG3,Green,Ram Island,3,20250709,20250709,2,20,,14,,,,,,
RIP3,Pink,Ram Island,3,20250704,20250707,2,31,,18,,,,,,
RIB4,Blue,Ram Island,4,20250707,20250716,1,15,,21,,,,,,
RIR4,Red,Ram Island,4,20250702,20250702,2,33,,24,,,,,,
RIG4,Green,Ram Island,4,20250707,20250725,1,22,,27,,,,,,
RIP4,Pink,Ram Island,4,20250702,20250702,2,52,,18,,,,,,
RIB5,Blue,Ram Island,5,20250711,20250725,1,20,,26,,,,,,
RIR5,Red,Ram Island,5,20250709,Dead,1,36,,24,,,,,,
RIG5,Green,Ram Island,5,20250716,20250716,2,43,,24,,,,,,
RIP5,Pink,Ram Island,5,20250704,20250707,2,22,,24,,,,,,
RIB6,Blue,Ram Island,6,20250725,20250728,1,4,,4,,,,,,
RIR6,Red,Ram Island,6,20250716,20250718,1,10,,11,,,,,,
RIG6,Green,Ram Island,6,20250718,20250721,1,24,,26,,,,,,
RIP6,Pink,Ram Island,6,20250711,20250714,1,21,,29,,,,,,
BRB1,Blue,Bass Rock,1,20250711,20250711,2,57,,32,,,,,,
BRR1,Red,Bass Rock,1,Dead,Dead,0,0,One egg capsule has disappeared after had been assumed dead,0,,,,,,
BRG1,Green,Bass Rock,1,20250714,20250716,1,12,,27,,,,,,
BRP1,Pink,Bass Rock,1,20250707,20250714,1,25,,32,,,,,,
BRB2,Blue,Bass Rock,2,20250709,20250709,2,27,Experienced +2 days of risk exposure to crab which was forgotten in red bottom container,21,dead snails were removed by mistake,,,,,
BRR2,Red,Bass Rock,2,20250707,20250714,1,31,,42,,,,,,
BRG2,Green,Bass Rock,2,20250714,20250721,1,32,,24,,,,,,
BRP2,Pink,Bass Rock,2,20250704,20250704,2,32,,38,,,,,,
BRB3,Blue,Bass Rock,3,20250709,20250709,2,39,,32,,,,,,
BRR3,Red,Bass Rock,3,20250707,20250716,1,21,,17,,,,,,
BRG3,Green,Bass Rock,3,20250718,20250718,2,24,,21,,,,,,
BRP3,Pink,Bass Rock,3,20250704,20250806,1,18,,4,,,,,,
BRB4,Blue,Bass Rock,4,20250711,20250721,1,38,,15,Dead snails were removed by mistake,,,,,
BRR4,Red,Bass Rock,4,20250704,20250704,2,44,,21,,,,,,
BRG4,Green,Bass Rock,4,20250709,20250714,1,20,,33,,,,,,
BRP4,Pink,Bass Rock,4,20250704,20250718,1,17,,15,,,,,,
BRB5,Blue,Bass Rock,4,20250716,20250721,1,13,,10,,,,,,
BRR5,Red,Bass Rock,4,20250716,20250716,2,51,,32,,,,,,
BRG5,Green,Bass Rock,4,20250716,20250721,1,11,,14,,,,,,
BRP5,Pink,Bass Rock,5,20250714,20250716,1,19,,27,,,,,,
BRB6,Blue,Bass Rock,6,20250711,20250711,2,34,,32,,,,,,
BRR6,Red,Bass Rock,6,20250711,20250714,1,25,,27,,,,,,
BRG6,Green,Bass Rock,6,20250714,20250725,1,22,,11,,,,,,
BRP6,Pink,Bass Rock,6,20250707,20250707,2,32,,24,,,,,,
