sample_name,emergence_date,site,color,batch,predation,temperature,photo_number,snail_number,length,width
BRP4,20250704,Bass Rock,Pink,4,No crab,Heated,6,6,1.07,0.8
BRP4,20250704,Bass Rock,Pink,4,No crab,Heated,6,7,1,0.8
BRP4,20250704,Bass Rock,Pink,4,No crab,Heated,6,8,1.25,0.73
BRP4,20250704,Bass Rock,Pink,4,No crab,Heated,6,9,1.14,0.78
BRP4,20250704,Bass Rock,Pink,4,No crab,Heated,6,10,1.2,0.84
BRR4,20250704,Bass Rock,Red,4,Crab,Heated,7,1,1.23,0.79
BRR4,20250704,Bass Rock,Red,4,Crab,Heated,7,2,1.16,0.7
BRR4,20250704,Bass Rock,Red,4,Crab,Heated,7,3,1.05,0.73
BRR4,20250704,Bass Rock,Red,4,Crab,Heated,7,4,1.16,0.83
BRR4,20250704,Bass Rock,Red,4,Crab,Heated,7,5,1.23,0.68
BRR4,20250704,Bass Rock,Red,4,Crab,Heated,7,6,1.22,0.78
BRR4,20250704,Bass Rock,Red,4,Crab,Heated,7,7,1.09,0.74
BRR4,20250704,Bass Rock,Red,4,Crab,Heated,7,8,1,0.72
BRR4,20250704,Bass Rock,Red,4,Crab,Heated,7,9,1.14,0.83
BRR4,20250704,Bass Rock,Red,4,Crab,Heated,7,10,1.12,0.89
RIG2,20250704,Ram Island,Green,2,No crab,Ambient,8,1,1.15,0.92
RIG2,20250704,Ram Island,Green,2,No crab,Ambient,8,2,1.43,0.96
RIG2,20250704,Ram Island,Green,2,No crab,Ambient,8,3,1.34,0.92
RIG2,20250704,Ram Island,Green,2,No crab,Ambient,8,4,1.1,1.07
RIG2,20250704,Ram Island,Green,2,No crab,Ambient,8,5,1.1,0.94
RIG2,20250704,Ram Island,Green,2,No crab,Ambient,8,6,1.25,0.7
RIG2,20250704,Ram Island,Green,2,No crab,Ambient,8,7,1.24,0.83
RIG2,20250704,Ram Island,Green,2,No crab,Ambient,8,8,1.34,0.98
RIG2,20250704,Ram Island,Green,2,No crab,Ambient,8,9,1.25,0.89
RIG2,20250704,Ram Island,Green,2,No crab,Ambient,8,10,1.27,0.86
RIP3,20250704,Ram Island,Pink,3,No crab,Heated,5,1,1.18,0.88
RIP3,20250704,Ram Island,Pink,3,No crab,Heated,5,2,1.06,0.87
RIP3,20250704,Ram Island,Pink,3,No crab,Heated,5,3,1.12,0.88
RIP3,20250704,Ram Island,Pink,3,No crab,Heated,5,4,1.04,0.76
RIP3,20250704,Ram Island,Pink,3,No crab,Heated,5,5,1.16,0.74
RIP3,20250704,Ram Island,Pink,3,No crab,Heated,5,6,1.08,0.84
RIP3,20250704,Ram Island,Pink,3,No crab,Heated,5,7,1.02,0.7
RIP3,20250704,Ram Island,Pink,3,No crab,Heated,5,8,0.99,0.79
RIP3,20250704,Ram Island,Pink,3,No crab,Heated,5,9,1.11,0.73
RIP3,20250704,Ram Island,Pink,3,No crab,Heated,5,10,1.01,0.71
RIP4,20250704,Ram Island,Pink,4,No crab,Heated,11,1,1.13,0.78
RIP4,20250704,Ram Island,Pink,4,No crab,Heated,11,2,1.01,0.69
RIP4,20250704,Ram Island,Pink,4,No crab,Heated,11,3,1.08,0.72
RIP4,20250704,Ram Island,Pink,4,No crab,Heated,11,4,1.07,0.77
RIP4,20250704,Ram Island,Pink,4,No crab,Heated,11,5,0.85,0.52
RIP4,20250704,Ram Island,Pink,4,No crab,Heated,11,6,1.21,0.85
RIP4,20250704,Ram Island,Pink,4,No crab,Heated,11,7,1.12,0.71
RIP4,20250704,Ram Island,Pink,4,No crab,Heated,11,8,0.95,0.67
RIP4,20250704,Ram Island,Pink,4,No crab,Heated,11,9,0.86,0.8
RIP4,20250704,Ram Island,Pink,4,No crab,Heated,11,10,1.18,0.68
RIP5,20250704,Ram Island,Pink,5,No crab,Heated,10,1,0.83,0.54
RIP5,20250704,Ram Island,Pink,5,No crab,Heated,10,2,0.81,0.53
RIP5,20250704,Ram Island,Pink,5,No crab,Heated,10,3,0.89,0.53
RIP5,20250704,Ram Island,Pink,5,No crab,Heated,10,4,0.86,0.68
RIP5,20250704,Ram Island,Pink,5,No crab,Heated,10,5,0.86,0.54
RIP5,20250704,Ram Island,Pink,5,No crab,Heated,10,6,0.87,0.66
RIP5,20250704,Ram Island,Pink,5,No crab,Heated,10,7,0.9,0.6
RIP5,20250704,Ram Island,Pink,5,No crab,Heated,10,8,0.94,0.63
RIP5,20250704,Ram Island,Pink,5,No crab,Heated,10,9,0.85,0.52
RIP5,20250704,Ram Island,Pink,5,No crab,Heated,10,10,0.86,0.65
BRP1,20250707,Bass Rock,Pink,1,No crab,Heated,19,1,1.28,0.86
BRP1,20250707,Bass Rock,Pink,1,No crab,Heated,19,2,1.33,0.94
BRP1,20250707,Bass Rock,Pink,1,No crab,Heated,19,3,1.28,0.95
BRP1,20250707,Bass Rock,Pink,1,No crab,Heated,19,4,1.28,0.89
BRP1,20250707,Bass Rock,Pink,1,No crab,Heated,19,5,1.23,0.92
BRP1,20250707,Bass Rock,Pink,1,No crab,Heated,19,6,1.31,0.98
BRP1,20250707,Bass Rock,Pink,1,No crab,Heated,19,7,1.23,0.85
BRP1,20250707,Bass Rock,Pink,1,No crab,Heated,19,8,1.33,0.94
BRP1,20250707,Bass Rock,Pink,1,No crab,Heated,19,9,1.36,1.01
BRP1,20250707,Bass Rock,Pink,1,No crab,Heated,19,10,1.3,0.88
BRP6,20250707,Bass Rock,Pink,6,No crab,Heated,13,1,1.12,0.9
BRP6,20250707,Bass Rock,Pink,6,No crab,Heated,13,2,1.26,0.93
BRP6,20250707,Bass Rock,Pink,6,No crab,Heated,13,3,1.15,0.92
BRP6,20250707,Bass Rock,Pink,6,No crab,Heated,13,4,1.25,0.91
BRP6,20250707,Bass Rock,Pink,6,No crab,Heated,13,5,1.15,0.93
BRP6,20250707,Bass Rock,Pink,6,No crab,Heated,13,6,1.21,0.98
BRP6,20250707,Bass Rock,Pink,6,No crab,Heated,13,7,1.09,1.02
BRP6,20250707,Bass Rock,Pink,6,No crab,Heated,13,8,1.14,0.98
BRP6,20250707,Bass Rock,Pink,6,No crab,Heated,13,9,1.15,0.88
BRP6,20250707,Bass Rock,Pink,6,No crab,Heated,13,10,1.06,0.78
BRR2,20250707,Bass Rock,Red,2,Crab,Heated,16,1,1.05,0.92
BRR2,20250707,Bass Rock,Red,2,Crab,Heated,16,2,1.2,0.95
BRR2,20250707,Bass Rock,Red,2,Crab,Heated,16,3,1.24,0.86
BRR2,20250707,Bass Rock,Red,2,Crab,Heated,16,4,1.16,0.81
BRR2,20250707,Bass Rock,Red,2,Crab,Heated,16,5,1.12,0.84
BRR2,20250707,Bass Rock,Red,2,Crab,Heated,16,6,1.18,0.89
BRR2,20250707,Bass Rock,Red,2,Crab,Heated,16,7,1.26,0.88
BRR2,20250707,Bass Rock,Red,2,Crab,Heated,16,8,1.24,0.81
BRR2,20250707,Bass Rock,Red,2,Crab,Heated,16,9,1.11,0.93
BRR2,20250707,Bass Rock,Red,2,Crab,Heated,16,10,1.04,0.79
BRR3,20250707,Bass Rock,Red,3,Crab,Heated,17,1,1.36,1.06
BRR3,20250707,Bass Rock,Red,3,Crab,Heated,17,2,1.27,0.88
BRR3,20250707,Bass Rock,Red,3,Crab,Heated,17,3,1.29,1.07
BRR3,20250707,Bass Rock,Red,3,Crab,Heated,17,4,1.35,1.05
BRR3,20250707,Bass Rock,Red,3,Crab,Heated,17,5,1.08,0.91
BRR3,20250707,Bass Rock,Red,3,Crab,Heated,17,6,1.29,0.98
BRR3,20250707,Bass Rock,Red,3,Crab,Heated,17,7,1.26,0.85
BRR3,20250707,Bass Rock,Red,3,Crab,Heated,17,8,1.3,1
BRR3,20250707,Bass Rock,Red,3,Crab,Heated,17,9,1.28,1.07
BRR3,20250707,Bass Rock,Red,3,Crab,Heated,17,10,1.06,0.8
RIB2,20250707,Ram Island,Blue,2,Crab,Ambient,15,1,1.31,0.93
RIB2,20250707,Ram Island,Blue,2,Crab,Ambient,15,2,1.25,0.94
RIB2,20250707,Ram Island,Blue,2,Crab,Ambient,15,3,1.24,1
RIB2,20250707,Ram Island,Blue,2,Crab,Ambient,15,4,1.27,1.01
RIB2,20250707,Ram Island,Blue,2,Crab,Ambient,15,5,1.19,0.75
RIB2,20250707,Ram Island,Blue,2,Crab,Ambient,15,6,1.3,0.99
RIB2,20250707,Ram Island,Blue,2,Crab,Ambient,15,7,1.32,1.06
RIB2,20250707,Ram Island,Blue,2,Crab,Ambient,15,8,1.24,1
RIB2,20250707,Ram Island,Blue,2,Crab,Ambient,15,9,1.32,0.97
RIB2,20250707,Ram Island,Blue,2,Crab,Ambient,15,10,1.33,1.02
RIB4,20250707,Ram Island,Blue,4,Crab,Ambient,14,1,0.91,0.72
RIB4,20250707,Ram Island,Blue,4,Crab,Ambient,14,2,0.87,0.67
RIB4,20250707,Ram Island,Blue,4,Crab,Ambient,14,3,0.84,0.61
RIB4,20250707,Ram Island,Blue,4,Crab,Ambient,14,4,0.95,0.64
RIB4,20250707,Ram Island,Blue,4,Crab,Ambient,14,5,0.89,0.65
RIB4,20250707,Ram Island,Blue,4,Crab,Ambient,14,6,0.84,0.63
RIB4,20250707,Ram Island,Blue,4,Crab,Ambient,14,7,0.83,0.68
RIB4,20250707,Ram Island,Blue,4,Crab,Ambient,14,8,0.83,0.7
RIB4,20250707,Ram Island,Blue,4,Crab,Ambient,14,9,0.77,0.64
RIB4,20250707,Ram Island,Blue,4,Crab,Ambient,14,10,0.84,0.61
RIG4,20250707,Ram Island,Green,4,No crab,Ambient,18,1,1.16,1
RIG4,20250707,Ram Island,Green,4,No crab,Ambient,18,2,1.16,0.9
RIG4,20250707,Ram Island,Green,4,No crab,Ambient,18,3,1.07,0.97
RIG4,20250707,Ram Island,Green,4,No crab,Ambient,18,4,1.23,0.97
RIG4,20250707,Ram Island,Green,4,No crab,Ambient,18,5,1.15,0.8
RIG4,20250707,Ram Island,Green,4,No crab,Ambient,18,6,1.14,0.95
RIG4,20250707,Ram Island,Green,4,No crab,Ambient,18,7,1.03,0.96
RIG4,20250707,Ram Island,Green,4,No crab,Ambient,18,8,1.1,0.97
RIG4,20250707,Ram Island,Green,4,No crab,Ambient,18,9,1.23,1.01
RIG4,20250707,Ram Island,Green,4,No crab,Ambient,18,10,1.14,0.95
BRB2,20250709,Bass Rock,Blue,2,Crab,Ambient,27,1,1.17,0.95
BRB2,20250709,Bass Rock,Blue,2,Crab,Ambient,27,2,1.12,0.89
BRB2,20250709,Bass Rock,Blue,2,Crab,Ambient,27,3,1.25,0.86
BRB2,20250709,Bass Rock,Blue,2,Crab,Ambient,27,4,1.25,0.89
BRB2,20250709,Bass Rock,Blue,2,Crab,Ambient,27,5,1,0.82
BRB2,20250709,Bass Rock,Blue,2,Crab,Ambient,27,6,1.14,0.88
BRB2,20250709,Bass Rock,Blue,2,Crab,Ambient,27,7,1.07,0.77
BRB2,20250709,Bass Rock,Blue,2,Crab,Ambient,27,8,1.14,0.95
BRB2,20250709,Bass Rock,Blue,2,Crab,Ambient,27,9,1.18,0.84
BRB2,20250709,Bass Rock,Blue,2,Crab,Ambient,27,10,1.11,0.86
BRG4,20250709,Bass Rock,Green,4,No crab,Ambient,36,1,1.19,1.05
BRG4,20250709,Bass Rock,Green,4,No crab,Ambient,36,2,1.16,1.04
BRG4,20250709,Bass Rock,Green,4,No crab,Ambient,36,3,1.37,0.9
BRG4,20250709,Bass Rock,Green,4,No crab,Ambient,36,4,1.32,1.04
BRG4,20250709,Bass Rock,Green,4,No crab,Ambient,36,5,1.23,1.1
BRG4,20250709,Bass Rock,Green,4,No crab,Ambient,36,6,1.06,0.91
BRG4,20250709,Bass Rock,Green,4,No crab,Ambient,36,7,1.24,1.18
BRG4,20250709,Bass Rock,Green,4,No crab,Ambient,36,8,1.24,1.11
BRG4,20250709,Bass Rock,Green,4,No crab,Ambient,36,9,1.26,1.15
BRG4,20250709,Bass Rock,Green,4,No crab,Ambient,36,10,1.28,1.1
CRB3,20250709,Castle Rock,Blue,3,Crab,Ambient,29,1,1.38,1.06
CRB3,20250709,Castle Rock,Blue,3,Crab,Ambient,29,2,1.17,0.91
CRB3,20250709,Castle Rock,Blue,3,Crab,Ambient,29,3,1.29,0.96
CRB3,20250709,Castle Rock,Blue,3,Crab,Ambient,29,4,1.18,0.9
CRB3,20250709,Castle Rock,Blue,3,Crab,Ambient,29,5,1.33,1.08
CRB3,20250709,Castle Rock,Blue,3,Crab,Ambient,29,6,1.1,0.85
CRB3,20250709,Castle Rock,Blue,3,Crab,Ambient,29,7,1.19,0.99
CRB3,20250709,Castle Rock,Blue,3,Crab,Ambient,29,8,1.24,0.97
CRB3,20250709,Castle Rock,Blue,3,Crab,Ambient,29,9,1.11,0.78
CRB3,20250709,Castle Rock,Blue,3,Crab,Ambient,29,10,1.18,0.89
CRP1,20250709,Castle Rock,Pink,1,No crab,Heated,35,1,1.33,0.97
CRP1,20250709,Castle Rock,Pink,1,No crab,Heated,35,2,1.16,0.96
CRP1,20250709,Castle Rock,Pink,1,No crab,Heated,35,3,1.13,1.03
CRP1,20250709,Castle Rock,Pink,1,No crab,Heated,35,4,1.07,0.98
CRP1,20250709,Castle Rock,Pink,1,No crab,Heated,35,5,1.2,0.95
CRP1,20250709,Castle Rock,Pink,1,No crab,Heated,35,6,1.09,1.02
CRP1,20250709,Castle Rock,Pink,1,No crab,Heated,35,7,1.1,0.88
CRP1,20250709,Castle Rock,Pink,1,No crab,Heated,35,8,1.12,0.93
CRP1,20250709,Castle Rock,Pink,1,No crab,Heated,35,9,1.2,1.02
CRP1,20250709,Castle Rock,Pink,1,No crab,Heated,35,10,1.16,0.89
CRP3,20250709,Castle Rock,Pink,3,No crab,Heated,28,1,1.14,0.83
CRP3,20250709,Castle Rock,Pink,3,No crab,Heated,28,2,1.24,1
CRP3,20250709,Castle Rock,Pink,3,No crab,Heated,28,3,1.28,0.99
CRP3,20250709,Castle Rock,Pink,3,No crab,Heated,28,4,1.29,0.93
CRP3,20250709,Castle Rock,Pink,3,No crab,Heated,28,5,1.15,1.01
CRP3,20250709,Castle Rock,Pink,3,No crab,Heated,28,6,1.17,0.91
CRP3,20250709,Castle Rock,Pink,3,No crab,Heated,28,7,1.17,0.87
CRP3,20250709,Castle Rock,Pink,3,No crab,Heated,28,8,1.13,0.95
CRP3,20250709,Castle Rock,Pink,3,No crab,Heated,28,9,1.16,0.87
CRP3,20250709,Castle Rock,Pink,3,No crab,Heated,28,10,1.15,0.89
CRP4,20250709,Castle Rock,Pink,4,No crab,Heated,38,1,1.12,0.99
CRP4,20250709,Castle Rock,Pink,4,No crab,Heated,38,2,1.01,0.92
CRP4,20250709,Castle Rock,Pink,4,No crab,Heated,38,3,1.17,1.13
CRP4,20250709,Castle Rock,Pink,4,No crab,Heated,38,4,1.17,1.04
CRP4,20250709,Castle Rock,Pink,4,No crab,Heated,38,5,1.15,1.03
CRP4,20250709,Castle Rock,Pink,4,No crab,Heated,38,6,1.3,1.06
CRP4,20250709,Castle Rock,Pink,4,No crab,Heated,38,7,1.26,1.03
CRP4,20250709,Castle Rock,Pink,4,No crab,Heated,38,8,1.27,1.14
CRP4,20250709,Castle Rock,Pink,4,No crab,Heated,38,9,1.13,1.02
CRP4,20250709,Castle Rock,Pink,4,No crab,Heated,38,10,0.97,0.76
CRR3,20250709,Castle Rock,Red,3,Crab,Heated,32,1,1.15,0.89
CRR3,20250709,Castle Rock,Red,3,Crab,Heated,32,2,1.15,0.85
CRR3,20250709,Castle Rock,Red,3,Crab,Heated,32,3,1.24,1.06
CRR3,20250709,Castle Rock,Red,3,Crab,Heated,32,4,1.11,0.84
CRR3,20250709,Castle Rock,Red,3,Crab,Heated,32,5,1.15,0.96
CRR3,20250709,Castle Rock,Red,3,Crab,Heated,32,6,1.27,0.98
CRR3,20250709,Castle Rock,Red,3,Crab,Heated,32,7,1.28,0.94
CRR3,20250709,Castle Rock,Red,3,Crab,Heated,32,8,0.86,0.74
CRR3,20250709,Castle Rock,Red,3,Crab,Heated,32,9,1.24,1.01
CRR3,20250709,Castle Rock,Red,3,Crab,Heated,32,10,1.23,0.82
CRR4,20250709,Castle Rock,Red,4,Crab,Heated,31,1,1.24,0.97
CRR4,20250709,Castle Rock,Red,4,Crab,Heated,31,2,1.22,0.9
CRR4,20250709,Castle Rock,Red,4,Crab,Heated,31,3,1.16,0.91
CRR4,20250709,Castle Rock,Red,4,Crab,Heated,31,4,1.1,0.9
CRR4,20250709,Castle Rock,Red,4,Crab,Heated,31,5,1.27,0.95
CRR4,20250709,Castle Rock,Red,4,Crab,Heated,31,6,1.02,0.75
CRR4,20250709,Castle Rock,Red,4,Crab,Heated,31,7,1.17,0.82
CRR4,20250709,Castle Rock,Red,4,Crab,Heated,31,8,1.2,0.81
CRR4,20250709,Castle Rock,Red,4,Crab,Heated,31,9,1.25,0.9
CRR4,20250709,Castle Rock,Red,4,Crab,Heated,31,10,1.12,0.88
RIB3,20250709,Ram Island,Blue,3,Crab,Ambient,33,1,1.09,0.91
RIB3,20250709,Ram Island,Blue,3,Crab,Ambient,33,2,1.11,0.88
RIB3,20250709,Ram Island,Blue,3,Crab,Ambient,33,3,1.09,0.8
RIB3,20250709,Ram Island,Blue,3,Crab,Ambient,33,4,1.16,0.95
RIB3,20250709,Ram Island,Blue,3,Crab,Ambient,33,5,1.14,0.88
RIB3,20250709,Ram Island,Blue,3,Crab,Ambient,33,6,1.15,0.91
RIB3,20250709,Ram Island,Blue,3,Crab,Ambient,33,7,1.14,0.89
RIB3,20250709,Ram Island,Blue,3,Crab,Ambient,33,8,0.97,0.81
RIB3,20250709,Ram Island,Blue,3,Crab,Ambient,33,9,1.13,0.88
RIB3,20250709,Ram Island,Blue,3,Crab,Ambient,33,10,0.95,0.76
RIG3,20250709,Ram Island,Green,3,No crab,Ambient,37,1,0.86,0.74
RIG3,20250709,Ram Island,Green,3,No crab,Ambient,37,2,0.89,0.86
RIG3,20250709,Ram Island,Green,3,No crab,Ambient,37,3,0.88,0.71
RIG3,20250709,Ram Island,Green,3,No crab,Ambient,37,4,0.93,0.84
RIG3,20250709,Ram Island,Green,3,No crab,Ambient,37,5,0.94,0.85
RIG3,20250709,Ram Island,Green,3,No crab,Ambient,37,6,0.94,0.87
RIG3,20250709,Ram Island,Green,3,No crab,Ambient,37,7,0.81,0.73
RIG3,20250709,Ram Island,Green,3,No crab,Ambient,37,8,0.97,0.88
RIG3,20250709,Ram Island,Green,3,No crab,Ambient,37,9,0.83,0.77
RIG3,20250709,Ram Island,Green,3,No crab,Ambient,37,10,0.98,0.82
RIR3,20250709,Ram Island,Red,3,Crab,Heated,30,1,1.24,0.97
RIR3,20250709,Ram Island,Red,3,Crab,Heated,30,2,1.22,0.9
RIR3,20250709,Ram Island,Red,3,Crab,Heated,30,3,1.16,0.91
RIR3,20250709,Ram Island,Red,3,Crab,Heated,30,4,1.1,0.9
RIR3,20250709,Ram Island,Red,3,Crab,Heated,30,5,1.27,0.95
RIR3,20250709,Ram Island,Red,3,Crab,Heated,30,6,1.02,0.75
RIR3,20250709,Ram Island,Red,3,Crab,Heated,30,7,1.17,0.82
RIR3,20250709,Ram Island,Red,3,Crab,Heated,30,8,1.2,0.81
RIR3,20250709,Ram Island,Red,3,Crab,Heated,30,9,1.25,0.9
RIR3,20250709,Ram Island,Red,3,Crab,Heated,30,10,1.12,0.88
RIR5,20250709,Ram Island,Red,5,Crab,Heated,34,1,1.1,0.9
RIR5,20250709,Ram Island,Red,5,Crab,Heated,34,2,0.79,0.75
RIR5,20250709,Ram Island,Red,5,Crab,Heated,34,3,0.99,0.95
RIR5,20250709,Ram Island,Red,5,Crab,Heated,34,4,0.96,0.83
RIR5,20250709,Ram Island,Red,5,Crab,Heated,34,5,0.85,0.76
RIR5,20250709,Ram Island,Red,5,Crab,Heated,34,6,1.03,0.98
RIR5,20250709,Ram Island,Red,5,Crab,Heated,34,7,0.81,0.73
RIR5,20250709,Ram Island,Red,5,Crab,Heated,34,8,0.74,0.66
RIR5,20250709,Ram Island,Red,5,Crab,Heated,34,9,0.81,0.6
RIR5,20250709,Ram Island,Red,5,Crab,Heated,34,10,0.87,0.84
BRB1,20250711,Bass Rock,Blue,1,Crab,Ambient,39,1,0.97,0.88
BRB1,20250711,Bass Rock,Blue,1,Crab,Ambient,39,2,0.96,0.82
BRB1,20250711,Bass Rock,Blue,1,Crab,Ambient,39,3,1.05,0.93
BRB1,20250711,Bass Rock,Blue,1,Crab,Ambient,39,4,0.95,0.86
BRB1,20250711,Bass Rock,Blue,1,Crab,Ambient,39,5,1.01,0.89
BRB1,20250711,Bass Rock,Blue,1,Crab,Ambient,39,6,1.06,0.88
BRB1,20250711,Bass Rock,Blue,1,Crab,Ambient,39,7,1,0.86
BRB1,20250711,Bass Rock,Blue,1,Crab,Ambient,39,8,1.02,0.9
BRB1,20250711,Bass Rock,Blue,1,Crab,Ambient,39,9,0.94,0.84
BRB1,20250711,Bass Rock,Blue,1,Crab,Ambient,39,10,1.04,0.95
BRB4,20250711,Bass Rock,Blue,4,Crab,Ambient,43,1,1.13,0.87
BRB4,20250711,Bass Rock,Blue,4,Crab,Ambient,43,2,1.02,0.81
BRB4,20250711,Bass Rock,Blue,4,Crab,Ambient,43,3,1.18,0.88
BRB4,20250711,Bass Rock,Blue,4,Crab,Ambient,43,4,1.03,0.82
BRB4,20250711,Bass Rock,Blue,4,Crab,Ambient,43,5,0.98,0.76
BRB4,20250711,Bass Rock,Blue,4,Crab,Ambient,43,6,1.08,0.82
BRB4,20250711,Bass Rock,Blue,4,Crab,Ambient,43,7,1.06,0.74
BRB4,20250711,Bass Rock,Blue,4,Crab,Ambient,43,8,1.07,0.83
BRB4,20250711,Bass Rock,Blue,4,Crab,Ambient,43,9,1.03,0.77
BRB4,20250711,Bass Rock,Blue,4,Crab,Ambient,43,10,1.13,0.77
BRB6,20250711,Bass Rock,Blue,6,Crab,Ambient,47,1,1.36,1.11
BRB6,20250711,Bass Rock,Blue,6,Crab,Ambient,47,2,1.25,1.03
BRB6,20250711,Bass Rock,Blue,6,Crab,Ambient,47,3,1.15,0.91
BRB6,20250711,Bass Rock,Blue,6,Crab,Ambient,47,4,1.26,1
BRB6,20250711,Bass Rock,Blue,6,Crab,Ambient,47,5,1.13,0.91
BRB6,20250711,Bass Rock,Blue,6,Crab,Ambient,47,6,1.32,1.02
BRB6,20250711,Bass Rock,Blue,6,Crab,Ambient,47,7,1.26,1.02
BRB6,20250711,Bass Rock,Blue,6,Crab,Ambient,47,8,1.31,1.03
BRB6,20250711,Bass Rock,Blue,6,Crab,Ambient,47,9,1.03,0.89
BRB6,20250711,Bass Rock,Blue,6,Crab,Ambient,47,10,1.05,0.85
BRR6,20250711,Bass Rock,Red,6,Crab,Heated,45,1,1.1,0.84
BRR6,20250711,Bass Rock,Red,6,Crab,Heated,45,2,1.09,0.79
BRR6,20250711,Bass Rock,Red,6,Crab,Heated,45,3,1.22,0.89
BRR6,20250711,Bass Rock,Red,6,Crab,Heated,45,4,1.13,0.84
BRR6,20250711,Bass Rock,Red,6,Crab,Heated,45,5,0.96,0.8
